node1	node2	edge_score	
Mabuterol	ADRB2	1.0	
ADRB2	AP2B1	0.8669217489920482
ADRB2	AP2A1	0.8669217489920482
ADRB2	MC1R	0.8252219011119977
ADRB2	SH3GL2	0.865611713402943
ADRB2	LRP2	0.863443159858049
ADRB2	PTH1R	0.8354005520686607
ADRB2	CTTN	0.8628338709774962
ADRB2	ACTR2	0.8628338709774962
ADRB2	CGA	0.849809014912932
ADRB2	HIP1R	0.8628338709774962
ADRB2	ADCYAP1R1	0.8354005520686607
ADRB2	CHRM2	0.863443159858049
ADRB2	P2RY11	0.8252219011119977
ADRB2	ARPC3	0.8628338709774962
ADRB2	BIN1	0.863443159858049
ADRB2	RAB5A	0.8129393082389929
ADRB2	TAAR1	0.8354005520686607
ADRB2	OCRL	0.8613363396709319
ADRB2	FCHO2	0.8583026292860755
ADRB2	ADORA2B	0.8354005520686607
ADRB2	GHRHR	0.8354005520686607
ADRB2	STON2	0.863443159858049
ADRB2	FSHB	0.8407682499807351
ADRB2	VAMP3	0.863443159858049
ADRB2	MC5R	0.8252219011119977
ADRB2	GCG	0.849809014912932
ADRB2	SNX9	0.863443159858049
ADRB2	PTGDR	0.8252219011119977
ADRB2	TFRC	0.863443159858049
ADRB2	PIK3C2A	0.8441288359160942
ADRB2	GRB2	0.863443159858049
ADRB2	GPR150	0.8252219011119977
ADRB2	NPSR1	0.8354005520686607
ADRB2	GIPR	0.8354005520686607
ADRB2	FCHO1	0.8583026292860755
ADRB2	HTR4	0.8354005520686607
ADRB2	VAMP2	0.863443159858049
ADRB2	SCT	0.8407682499807351
ADRB2	GPR27	0.8252219011119977
ADRB2	CLTCL1	0.866142943288039
ADRB2	VAMP8	0.863443159858049
ADRB2	ADM2	0.8407682499807351
ADRB2	PTH2	0.8407682499807351
ADRB2	NECAP1	0.8664623807565615
ADRB2	SYT1	0.863443159858049
ADRB2	ARPC4	0.8628338709774962
ADRB2	TRIP10	0.863443159858049
ADRB2	GCGR	0.8354005520686607
ADRB2	AP2S1	0.8669217489920482
ADRB2	NPS	0.8407682499807351
ADRB2	GPR45	0.8252219011119977
ADRB2	DVL2	0.863443159858049
ADRB2	HRH2	0.8354005520686607
ADRB2	RAMP1	0.8421959353175904
ADRB2	CLTB	0.866142943288039
ADRB2	PICALM	0.863443159858049
ADRB2	DNM2	0.8621379174857935
ADRB2	FNBP1	0.863443159858049
ADRB2	HTR6	0.8354005520686607
ADRB2	SYNJ2	0.8613363396709319
ADRB2	CALCR	0.8421959353175904
ADRB2	GPR84	0.8252219011119977
ADRB2	STAM	0.863443159858049
ADRB2	EPS15L1	0.863443159858049
ADRB2	GPR15	0.8252219011119977
ADRB2	SH3KBP1	0.863443159858049
ADRB2	GHRH	0.8407682499807351
ADRB2	ARPC5	0.8628338709774962
ADRB2	PTGIR	0.8354005520686607
ADRB2	KIAA0319	0.863443159858049
ADRB2	rs1042714	0.99
ADRB2	CD3D	0.863443159858049
ADRB2	GNB1	0.8526462282435747
ADRB2	SCARB2	0.863443159858049
ADRB2	TF	0.863443159858049
ADRB2	RXFP1	0.8354005520686607
ADRB2	CD3G	0.863443159858049
ADRB2	AVPR2	0.865531144445342
ADRB2	POMC	0.833320481754769
ADRB2	ARRB1	0.8653853888875809
ADRB2	AP2M1	0.8669217489920482
ADRB2	FSHR	0.8354005520686607
ADRB2	rs1042713	0.99
ADRB2		1
ADRB2	VIPR1	0.8252219011119977
ADRB2	FZD4	0.863443159858049
ADRB2	GLP2R	0.8354005520686607
ADRB2	RLN3	0.8407682499807351
ADRB2	CALCB	0.8407682499807351
ADRB2	LDLR	0.863443159858049
ADRB2	RAMP2	0.8421959353175904
ADRB2	SYT2	0.863443159858049
ADRB2	CALCRL	0.8421959353175904
ADRB2	SGIP1	0.8664623807565615
ADRB2	LDLRAP1	0.863443159858049
ADRB2	CRHR1	0.8354005520686607
ADRB2	FNBP1L	0.863443159858049
ADRB2	STAM2	0.863443159858049
ADRB2	EPN2	0.863443159858049
ADRB2	VIP	0.833320481754769
ADRB2	ITSN1	0.8664623807565615
ADRB2	LHB	0.8407682499807351
ADRB2	VIPR2	0.8252219011119977
ADRB2	IGF2R	0.863443159858049
ADRB2	PTGER2	0.8252219011119977
ADRB2	GPR20	0.8252219011119977
ADRB2	GPHB5	0.8407682499807351
ADRB2	EGF	0.863443159858049
ADRB2	AGFG1	0.863443159858049
ADRB2	GPR83	0.8252219011119977
ADRB2	ADCYAP1	0.8407682499807351
ADRB2	LHCGR	0.8354005520686607
ADRB2	CRH	0.8407682499807351
ADRB2	TSHR	0.8354005520686607
ADRB2	GPR176	0.8252219011119977
ADRB2	GRK6	0.8086124452583398
ADRB2	WASL	0.8628338709774962
ADRB2	AP2A2	0.8669217489920482
ADRB2	GPHA2	0.8407682499807351
ADRB2	DRD5	0.8354005520686607
ADRB2	PTH	0.8407682499807351
ADRB2	ACTR3	0.8628338709774962
ADRB2	CLTC	0.8664089236866457
ADRB2	UBA52	0.863443159858049
ADRB2	INSL3	0.8407682499807351
ADRB2	TGOLN2	0.863443159858049
GNAS	rs62205366	0.8463981622192073
ADRB2	REPS1	0.8664623807565615
ADRB2	RXFP2	0.8354005520686607
ADRB2	rs1042718	0.99
ADRB2	WNT5A	0.863443159858049
ADRB2	ARRB2	0.8653853888875809
ADRB2	HGS	0.863443159858049
ADRB2	SYT9	0.863443159858049
ADRB2	CALCA	0.8407682499807351
ADRB2	CD4	0.863443159858049
ADRB2	CLTA	0.8664089236866457
ADRB2	EPN1	0.863443159858049
ADRB2	GPR32	0.8252219011119977
ADRB2	GIP	0.8407682499807351
ADRB2	GPR25	0.8252219011119977
ADRB2	PACSIN2	0.863443159858049
ADRB2	MC2R	0.8252219011119977
ADRB2	AVP	0.8657767124847613
ADRB2	SCTR	0.8354005520686607
ADRB2	RAMP3	0.8421959353175904
ADRB2	MC3R	0.8252219011119977
ADRB2	UBB	0.863443159858049
ADRB2	AAK1	0.8663069664123185
ADRB2	SYNJ1	0.8613363396709319
ADRB2	RPS27A	0.863443159858049
ADRB2	ADRB2	0.8660747677153173
ADRB2	ADM	0.8407682499807351
ADRB2	GAK	0.851137711762708
ADRB2	ARPC2	0.8628338709774962
ADRB2	HIP1	0.8628338709774962
ADRB2	CBL	0.863443159858049
ADRB2	GRK3	0.8086124452583398
ADRB2	UBC	0.863443159858049
ADRB2	PTHLH	0.8407682499807351
ADRB2	HTR7	0.8354005520686607
ADRB2	REPS2	0.863443159858049
ADRB2	GPBAR1	0.8354005520686607
ADRB2	PTGER4	0.8252219011119977
ADRB2	ADRB3	0.8354005520686607
ADRB2	APOB	0.863443159858049
ADRB2	RLN2	0.8459813396079446
ADRB2	M6PR	0.863443159858049
ADRB2	DNAJC6	0.851137711762708
ADRB2	GNAS	0.8549476386052599
ADRB2	EGFR	0.863443159858049
ADRB2	SLC2A8	0.863443159858049
ADRB2	SLC18A3	0.863443159858049
ADRB2	VAMP7	0.863443159858049
ADRB2	ARPC1A	0.8628338709774962
ADRB2	DAB2	0.8639805355496311
ADRB2	PTH2R	0.8354005520686607
ADRB2	AMPH	0.863443159858049
ADRB2	TSHB	0.8407682499807351
ADRB2	ADRB1	0.8354005520686607
ADRB2	IAPP	0.8407682499807351
ADRB2	VAMP4	0.863443159858049
ADRB2	GNG2	0.8526462282435747
ADRB2	EPS15	0.8667016654974304
Acth-Independent Macronodular Adrenal Hyperplasia	AVP	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	FZD4	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	GIP	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	GIPR	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	GNAS	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	GPBAR1	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	HTR4	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	MC2R	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	POMC	1.0	
Alzheimer Disease	ADRB1	1.0	
Alzheimer Disease	ADRB2	1.0	
Alzheimer Disease	ADRB3	1.0	
Alzheimer Disease	AP2A2	1.0	
Alzheimer Disease	APOB	1.0	
Alzheimer Disease	ARRB2	1.0	
Alzheimer Disease	BIN1	1.0	
Alzheimer Disease	CALCR	1.0	
Alzheimer Disease	CHRM2	1.0	
Alzheimer Disease	CRH	1.0	
Alzheimer Disease	DAB2	1.0	
Alzheimer Disease	DNM2	1.0	
Alzheimer Disease	DRD5	1.0	
Alzheimer Disease	EGFR	1.0	
Alzheimer Disease	FSHR	1.0	
Alzheimer Disease	GHRH	1.0	
Alzheimer Disease	GHRHR	1.0	
Alzheimer Disease	GRB2	1.0	
Alzheimer Disease	HTR6	1.0	
Alzheimer Disease	IAPP	1.0	
Alzheimer Disease	IGF2R	1.0	
Alzheimer Disease	ITSN1	1.0	
Alzheimer Disease	LDLR	1.0	
Alzheimer Disease	LHB	1.0	
Alzheimer Disease	LHCGR	1.0	
Alzheimer Disease	LRP2	1.0	
Alzheimer Disease	M6PR	1.0	
Alzheimer Disease	NPS	1.0	
Alzheimer Disease	PICALM	1.0	
Alzheimer Disease	PTGDR	1.0	
Alzheimer Disease	PTGER2	1.0	
Alzheimer Disease	PTGER4	1.0	
Alzheimer Disease	PTGIR	1.0	
Alzheimer Disease	PTH	1.0	
Alzheimer Disease	PTH1R	1.0	
Alzheimer Disease	SH3GL2	1.0	
Alzheimer Disease	SLC18A3	1.0	
Alzheimer Disease	SYNJ1	1.0	
Alzheimer Disease	SYT1	1.0	
Alzheimer Disease	TF	1.0	
Alzheimer Disease	UBB	1.0	
Alzheimer Disease	VAMP2	1.0	
Bipolar affective disorder	ADCYAP1	1.0	
Bipolar affective disorder	ADCYAP1R1	1.0	
Bipolar affective disorder	ADM	1.0	
Bipolar affective disorder	ADRB2	1.0	
Bipolar affective disorder	APOB	1.0	
Bipolar affective disorder	AVP	1.0	
Bipolar affective disorder	CALCA	1.0	
Bipolar affective disorder	CHRM2	1.0	
Bipolar affective disorder	CRH	1.0	
Bipolar affective disorder	CRHR1	1.0	
Bipolar affective disorder	DRD5	1.0	
Bipolar affective disorder	GHRH	1.0	
Bipolar affective disorder	HIP1R	1.0	
Bipolar affective disorder	HTR4	1.0	
Bipolar affective disorder	HTR7	1.0	
Bipolar affective disorder	KIAA0319	1.0	
Bipolar affective disorder	MC2R	1.0	
Bipolar affective disorder	MC5R	1.0	
Bipolar affective disorder	POMC	1.0	
Bipolar affective disorder	RPS27A	1.0	
Bipolar affective disorder	SYNJ1	1.0	
Bipolar affective disorder	TSHB	1.0	
Bipolar affective disorder	UBC	1.0	
Bipolar affective disorder	VAMP2	1.0	
Bipolar affective disorder	VAMP3	1.0	
Bipolar affective disorder	VAMP7	1.0	
Bipolar affective disorder	VIP	1.0	
Neuroendocrine neoplasm	ADCYAP1R1	1.0	
Neuroendocrine neoplasm	CRH	1.0	
Neuroendocrine neoplasm	EGF	1.0	
Neuroendocrine neoplasm	EGFR	1.0	
Neuroendocrine neoplasm	FZD4	1.0	
Neuroendocrine neoplasm	GCG	1.0	
Neuroendocrine neoplasm	GCGR	1.0	
Neuroendocrine neoplasm	GHRH	1.0	
Neuroendocrine neoplasm	GIP	1.0	
Neuroendocrine neoplasm	GIPR	1.0	
Neuroendocrine neoplasm	GNAS	1.0	
Neuroendocrine neoplasm	GPBAR1	1.0	
Neuroendocrine neoplasm	IAPP	1.0	
Neuroendocrine neoplasm	POMC	1.0	
Neuroendocrine neoplasm	PTH	1.0	
Neuroendocrine neoplasm	PTHLH	1.0	
Abnormality of the pituitary gland	ADCYAP1	1.0	
Abnormality of the pituitary gland	ADCYAP1R1	1.0	
Abnormality of the pituitary gland	ADM	1.0	
Abnormality of the pituitary gland	APOB	1.0	
Abnormality of the pituitary gland	AVP	1.0	
Abnormality of the pituitary gland	AVPR2	1.0	
Abnormality of the pituitary gland	CALCA	1.0	
Abnormality of the pituitary gland	CRH	1.0	
Abnormality of the pituitary gland	CRHR1	1.0	
Abnormality of the pituitary gland	EGF	1.0	
Abnormality of the pituitary gland	EGFR	1.0	
Abnormality of the pituitary gland	FSHB	1.0	
Abnormality of the pituitary gland	FSHR	1.0	
Abnormality of the pituitary gland	GCG	1.0	
Abnormality of the pituitary gland	GHRH	1.0	
Abnormality of the pituitary gland	GHRHR	1.0	
Abnormality of the pituitary gland	GNAS	1.0	
Abnormality of the pituitary gland	INSL3	1.0	
Abnormality of the pituitary gland	LDLR	1.0	
Abnormality of the pituitary gland	LHB	1.0	
Abnormality of the pituitary gland	LHCGR	1.0	
Abnormality of the pituitary gland	MC2R	1.0	
Abnormality of the pituitary gland	POMC	1.0	
Abnormality of the pituitary gland	PTH	1.0	
Abnormality of the pituitary gland	PTHLH	1.0	
Abnormality of the pituitary gland	SCT	1.0	
Abnormality of the pituitary gland	TSHB	1.0	
Abnormality of the pituitary gland	TSHR	1.0	
Abnormality of the pituitary gland	VAMP7	1.0	
Abnormality of the pituitary gland	VIP	1.0	
Abnormality of the pituitary gland	VIPR1	1.0	
Abnormality of the pituitary gland	VIPR2	1.0	
Pituitary adenoma	ARRB1	1.0	
Pituitary adenoma	ARRB2	1.0	
Pituitary adenoma	CGA	1.0	
Pituitary adenoma	CRH	1.0	
Pituitary adenoma	CRHR1	1.0	
Pituitary adenoma	EGF	1.0	
Pituitary adenoma	EGFR	1.0	
Pituitary adenoma	FSHB	1.0	
Pituitary adenoma	FSHR	1.0	
Pituitary adenoma	GHRH	1.0	
Pituitary adenoma	GHRHR	1.0	
Pituitary adenoma	GNAS	1.0	
Pituitary adenoma	GRB2	1.0	
Pituitary adenoma	MC2R	1.0	
Pituitary adenoma	POMC	1.0	
Pituitary adenoma	TFRC	1.0	
Neoplasm of the adrenal gland	ADM2	1.0	
Neoplasm of the adrenal gland	AVPR2	1.0	
Neoplasm of the adrenal gland	CGA	1.0	
Neoplasm of the adrenal gland	CRH	1.0	
Neoplasm of the adrenal gland	FSHR	1.0	
Neoplasm of the adrenal gland	GIP	1.0	
Neoplasm of the adrenal gland	GIPR	1.0	
Neoplasm of the adrenal gland	GNAS	1.0	
Neoplasm of the adrenal gland	LHCGR	1.0	
Neoplasm of the adrenal gland	MC2R	1.0	
Neoplasm of the adrenal gland	POMC	1.0	
Neoplasm of the adrenal gland	TSHR	1.0	
Secondary hyperparathyroidism	CALCR	1.0	
Secondary hyperparathyroidism	CALCRL	1.0	
Secondary hyperparathyroidism	EGF	1.0	
Secondary hyperparathyroidism	EGFR	1.0	
Secondary hyperparathyroidism	GHRHR	1.0	
Secondary hyperparathyroidism	GIP	1.0	
Secondary hyperparathyroidism	GIPR	1.0	
Secondary hyperparathyroidism	GNAS	1.0	
Secondary hyperparathyroidism	GRK6	1.0	
Secondary hyperparathyroidism	LHCGR	1.0	
Secondary hyperparathyroidism	POMC	1.0	
Secondary hyperparathyroidism	PTH	1.0	
Secondary hyperparathyroidism	PTH1R	1.0	
Secondary hyperparathyroidism	TFRC	1.0	
Secondary hyperparathyroidism	VIPR1	1.0	
Pheochromocytoma	ACTR2	1.0	
Pheochromocytoma	ADCYAP1	1.0	
Pheochromocytoma	ADM	1.0	
Pheochromocytoma	CALCA	1.0	
Pheochromocytoma	CALCRL	1.0	
