node_name	node_type	
Mabuterol	drug	
ADRB2	drug_target	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Alzheimer Disease	phenotype	
Bipolar affective disorder	phenotype	
Neuroendocrine neoplasm	phenotype	
Abnormality of the pituitary gland	phenotype	
Pituitary adenoma	phenotype	
Neoplasm of the adrenal gland	phenotype	
Secondary hyperparathyroidism	phenotype	
Pheochromocytoma	phenotype	
Breast-ovarian cancer, familial 1	phenotype	
Migraine Disorders	phenotype	
Malignant tumor of prostate	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Breast carcinoma	phenotype	
Cushing's syndrome	phenotype	
Prostate carcinoma	phenotype	
Kidney Failure, Chronic	phenotype	
Adrenocortical carcinoma	phenotype	
Mood Disorders	phenotype	
Medullary thyroid carcinoma	phenotype	
Acute-Phase Reaction	phenotype	
Heart Failure	phenotype	
Essential hypertension	phenotype	
Asthma	phenotype	
Pseudohypoparathyroidism, Type Ia	phenotype	
Hyperparathyroidism 4	phenotype	
Hypertension	phenotype	
Schizophrenia	phenotype	
Alcohol dependence	phenotype	
Malignant neoplasm of pancreas	phenotype	
Pain	phenotype	
Hyperplasia	phenotype	
Obesity	phenotype	
Delayed puberty	phenotype	
Prostatic Neoplasms	phenotype	
Pancreatic Carcinoma	phenotype	
Cholera	phenotype	
Neuroblastoma	phenotype	
Diabetes mellitus type 2	phenotype	
Anxiety Disorders	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Animal Mammary Neoplasms	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Disorder of endocrine system	phenotype	
Pituitary corticotropic cell adenoma	phenotype	
Obesity, severe, 601665 (3)	phenotype	
Inflammation	phenotype	
Liver Cirrhosis, Biliary	phenotype	
Female infertility	phenotype	
Congestive heart failure	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Pituitary dependent hypercortisolism	phenotype	
Renal Insufficiency, Chronic	phenotype	
Pseudohypoparathyroidism type 1A	phenotype	
Hyperalgesia	phenotype	
Polycystic Ovary Syndrome	phenotype	
Anorexia nervosa 1	phenotype	
Major depressive disorder	phenotype	
Neoplasm of the colon	phenotype	
{Unipolar depression, susceptibility to}, 608516 (3)	phenotype	
Benign melanocytic nevus	phenotype	
Rhabdomyosarcoma alveolar	phenotype	
Mental disorders	phenotype	
Increased analgesia from kappa-opioid receptor agonist, female-specific	phenotype	
Tachycardia	phenotype	
Metabolic Syndrome X	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Insulinoma	phenotype	
Carcinoid tumor no ICD-O subtype	phenotype	
Hyperglycemia	phenotype	
Adrenocortical adenoma	phenotype	
Irritable bowel syndrome with diarrhea	phenotype	
Ovarian Neoplasms	phenotype	
Stress, Psychological	phenotype	
body mass	phenotype	
Hypercholesterolemia, autosomal dominant, type B	phenotype	
Alcohol abuse	phenotype	
Sleep Wake Disorders	phenotype	
Preeclampsia/eclampsia 1	phenotype	
Anorexia	phenotype	
Abdominal obesity	phenotype	
Abnormality of skeletal maturation	phenotype	
Premature Birth	phenotype	
Abnormality of skeletal physiology	phenotype	
Lung Neoplasms	phenotype	
Familial hypercholesterolemia	phenotype	
Hyperthyroidism	phenotype	
Thyroid hormone receptor defect	phenotype	
Carcinoid tumor	phenotype	
Osteoporosis	phenotype	
Chronic Fatigue Syndrome	phenotype	
Rheumatoid arthritis	phenotype	
Congenital adrenal hyperplasia	phenotype	
Recurrent major depressive episodes	phenotype	
Melanocytic nevus of skin	phenotype	
Parkinson Disease	phenotype	
Chronic obstructive pulmonary disease	phenotype	
Osteoarthritis	phenotype	
Ovarian Diseases	phenotype	
Hypothyroidism	phenotype	
Autism 15	phenotype	
Hypercalciuria	phenotype	
Hyperlipidemia, combined, 1	phenotype	
Adrenal Gland Hyperfunction	phenotype	
Hypercalcemia, infantile, 2	phenotype	
Substance addiction and disorders	phenotype	
Depressive Disorder	phenotype	
Pancreatic Neoplasms	phenotype	
Primary hyperparathyroidism	phenotype	
Bradycardia	phenotype	
Diabetes insipidus	phenotype	
Gastrinoma	phenotype	
Abnormality of the parathyroid physiology	phenotype	
Bronchial Hyperreactivity	phenotype	
Bone neoplasms	phenotype	
Hypotension	phenotype	
Ischemia	phenotype	
Skin nodule	phenotype	
Nevus	phenotype	
Antisocial Personality Disorder	phenotype	
Carcinogenesis	phenotype	
Abnormality of the endocrine system	phenotype	
Vascular Calcification	phenotype	
Osteomalacia	phenotype	
Sparse pubic hair	phenotype	
Abnormality of the pubic hair	phenotype	
Plaque, Atherosclerotic	phenotype	
Disorders of Intracellular Cobalamin Metabolism	phenotype	
Adrenal hyperplasia	phenotype	
Amyotrophic Lateral Sclerosis	phenotype	
Abnormality of the parathyroid gland	phenotype	
Secondary hypertriglyceridemia	phenotype	
Primary hyperaldosteronism	phenotype	
alcohol use disorder	phenotype	
Cystitis	phenotype	
Unipolar Depression	phenotype	
Drug Dependence	phenotype	
Colitis, Ulcerative	phenotype	
Myotubular myopathy	phenotype	
Down Syndrome	phenotype	
Abnormality of the skeletal system	phenotype	
 Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency, 201910 (3)	phenotype	
Giant cell tumor of bone	phenotype	
Hyperinsulinemia	phenotype	
Rickets	phenotype	
Acute myocardial ischemia	phenotype	
Acromegaly	phenotype	
Wiskott-Aldrich syndrome, 301000 (3)	phenotype	
