node_name	node_type	
DB00836	drug	
CYP3A4	drug_target	
CYP2C8	drug_target	
OPRM1	drug_target	
OPRD1	drug_target	
CACNA1A	drug_target	
CALM3	drug_target	
POMC	drug_target	
CYP2B6	drug_target	
CYP2D6	drug_target	
OPRK1	drug_target	
ABCB1	drug_target	
Schizoaffective Disorder	phenotype	
Mental disorders	phenotype	
Weight Gain Adverse Event	phenotype	
Inflammation	phenotype	
Ischemia	phenotype	
Taste bitter	phenotype	
Status epilepticus	phenotype	
Pain	phenotype	
Bipolar affective disorder	phenotype	
Depressive Disorder	phenotype	
Opiate Addiction	phenotype	
Drug Dependence	phenotype	
Abnormality of the pituitary gland	phenotype	
Liver Diseases	phenotype	
Psychoses, Substance-Induced	phenotype	
Cocaine-Related Disorders	phenotype	
Alcohol abuse	phenotype	
Respiratory Syncytial Virus Infections	phenotype	
Asthma	phenotype	
Heroin Dependence	phenotype	
Alzheimer Disease	phenotype	
Bronchiolitis, Viral	phenotype	
Substance addiction and disorders	phenotype	
Substance Withdrawal Syndrome	phenotype	
Anxiety Disorders	phenotype	
Major depressive disorder	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Migraine Disorders	phenotype	
Arteriosclerosis	phenotype	
Alcohol dependence	phenotype	
Epilepsy, Temporal Lobe	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Unipolar Depression	phenotype	
Schizophrenia	phenotype	
Substance Use Disorders	phenotype	
Pneumonia	phenotype	
{Unipolar depression, susceptibility to}, 608516 (3)	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Hypertension	phenotype	
Obesity	phenotype	
Pain insensitivity	phenotype	
Ulcerative colitis	phenotype	
Mood Disorders	phenotype	
Hyperalgesia	phenotype	
Pulmonary Disease, Chronic Obstructive	phenotype	
Marijuana Abuse	phenotype	
Increased body weight	phenotype	
Epilepsy	phenotype	
Pheochromocytoma	phenotype	
Methamphetamine abuse	phenotype	
Coronary Artery Disease	phenotype	
Atherosclerosis	phenotype	
Left ventricular hypertrophy	phenotype	
