rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
53	Impotence	C0242350	14	126	1.584177233837636e-11	1.9442406456346297e-05	AGT,EDN1,EDNRA,GNRH1,GNRHR,KISS1,KISS1R,P2RY1,P2RY2,PROK2,PROKR2,PTAFR,TAC3,TACR3
54	Inflammation	C0021368	22	647	2.6101676375844818e-11	1.9809244314013207e-05	AGT,APP,BDKRB1,BDKRB2,CCK,EDN1,EDN2,F2,F2R,F2RL1,GAST,GHRL,HRH1,KNG1,LTB4R,NPFF,OXT,PTGFR,SAA1,TAC1,TACR1,TACR3
55	Mental disorders	C0004936	17	439	2.8832825016422703e-11	2.0176082171680116e-05	BDKRB1,BDKRB2,CCK,F2RL3,GNRHR2,GPRC6A,GRM5,GRP,GRPR,HCRTR1,LPAR3,NTSR1,OXT,OXTR,TAC1,TACR1,TRH
56	Pain	C0030193	26	628	3.137512472051185e-11	2.054292002934703e-05	ADRA1A,BDKRB1,BDKRB2,CASR,CCK,CCKBR,CHRM1,CYSLTR2,EDN1,EDN3,EDNRB,F2RL1,GHSR,GNA11,GNAQ,HCRT,HRH1,KNG1,NTSR1,OXT,PROKR1,SAA1,TAC1,TACR1,TACR3,TRH
57	Adenomas, multiple colorectal, 608456 (3)	C0001430	25	975	3.978062323994891e-11	2.090975788701394e-05	ADRA1D,AGT,BDKRB1,CASR,CCK,CCKBR,EDN1,EDNRA,EDNRB,F2RL2,GAST,GHRL,GHSR,GNRHR,HCRT,HCRTR1,HCRTR2,KISS1,LPAR1,NTS,NTSR1,TRH,TRHR,UTS2,UTS2R
58	Abnormality of the pituitary gland	C0032002	25	645	4.0606185081060175e-11	2.1276595744680852e-05	ADRA1A,ADRA1D,AGT,AVPR1B,CCK,CYSLTR2,EDNRA,GAST,GCG,GHRL,GHSR,GNA11,GNRH1,GNRHR,KISS1,KISS1R,LPAR2,NTS,OXT,PMCH,PROK2,PROKR2,TACR3,TRH,TRHR
59	Male hypogonadism	C0151721	8	38	4.262423747292132e-11	2.1643433602347762e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
60	Decreased serum testosterone level	C0857983	8	38	4.262423747292132e-11	2.2010271460014675e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
61	Secondary amenorrhea	C0232940	8	37	4.407330056466208e-11	2.2377109317681585e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
62	Hypoparathyroidism - autosomal dominant	C0342345	7	36	4.54954962592069e-11	2.2743947175348498e-05	ADRA1A,CASR,CYSLTR2,EDNRA,GNA11,LPAR2,NPS
63	Abnormal serum testosterone level	C0580454	8	41	4.787603646860816e-11	2.3110785033015408e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
64	Alzheimer Disease	C0002395	31	1699	4.9006798619188885e-11	2.347762289068232e-05	ADRA1A,ADRA1D,AGT,APP,BDKRB2,CASR,CHRM1,EDN1,EDNRA,EDNRB,F2,F2R,F2RL3,GRM5,GRPR,HCRT,HCRTR2,KNG1,LTB4R,MLN,NMU,NPS,NTS,NTSR1,P2RY1,P2RY2,PTGER1,PTGFR,SAA1,TAC1,UTS2B
65	Pulmonary hypertension, neonatal, susceptibility to	C0020542	16	333	4.942890541315137e-11	2.384446074834923e-05	AGT,BDKRB2,CASR,CYSLTR1,EDN1,EDNRA,EDNRB,F2,F2RL1,HTR2B,NPS,TAC1,TACR1,TACR2,UTS2,UTS2B
66	Anxiety	C0003467	14	214	4.959621602296238e-11	2.421129860601614e-05	CASR,GNA11,GNRH1,GNRHR,KISS1,KISS1R,OXT,OXTR,PMCH,PROK2,PROKR2,TAC1,TAC3,TACR3
67	Anxiety Disorders	C0003469	20	383	5.0902726478341265e-11	2.457813646368305e-05	ADRA1A,AGT,APP,AVPR1A,AVPR1B,CCK,CCKAR,CCKBR,CYSLTR2,EDNRA,GNB1,GRM5,LPAR1,LPAR2,NPS,NPSR1,OXT,OXTR,TAC1,TACR1
68	Anosmia	C0003126	8	45	5.10622655269799e-11	2.4944974321349963e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
69	Hypogonadotropic hypogonadism 7 with or without anosmia	C0022735	12	183	5.206146624914254e-11	2.5311812179016873e-05	ADRA1A,CYSLTR2,EDNRA,GNRH1,GNRHR,KISS1,KISS1R,LPAR2,PROK2,PROKR2,TAC3,TACR3
70	Essential hypertension	C0085580	18	305	5.255518242819335e-11	2.5678650036683786e-05	ADRA1A,ADRA1B,ADRA1D,AGT,AVPR1A,BDKRB1,BDKRB2,EDN1,EDN2,EDNRA,GCGR,KNG1,LPAR1,LPAR2,P2RY2,PTGFR,TRHR,UTS2
71	Decreased testosterone in males	C1860121	8	33	5.3643200992326e-11	2.60454878943507e-05	GNRH1,GNRHR,KISS1,KISS1R,PROK2,PROKR2,TAC3,TACR3
72	Sparse body hair	C1862863	9	48	5.417577497723869e-11	2.641232575201761e-05	GNRH1,GNRHR,KISS1,KISS1R,LPAR6,PROK2,PROKR2,TAC3,TACR3
