rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
1	Adenomas, multiple colorectal, 608456 (3)	C0001430	46	975	0.0	2.492522432701894e-07	ADORA2B,ADRA1D,AGT,BDKRB1,CALCA,CASR,CCK,CCKBR,CGA,CRH,CRHR1,EDN1,EDNRA,EDNRB,F2RL2,GAST,GHRH,GHRHR,GHRL,GHSR,GIP,GNAS,GNRHR,HCRT,HCRTR1,HCRTR2,HTR4,INSL3,KISS1,LHCGR,LPAR1,MC2R,NTS,NTSR1,PLA2G2A,POMC,PTGER2,PTGER4,PTH,PTHLH,SCTR,TRH,TRHR,TSHR,UTS2,UTS2R
2	Alzheimer Disease	C0002395	54	1699	0.0	4.985044865403788e-07	ADRA1A,ADRA1D,ADRB1,ADRB3,AGT,APP,ARSA,BDKRB2,CALCR,CASR,CHRM1,CRH,DRD5,EDN1,EDNRA,EDNRB,F10,F2,F2R,F2RL3,FSHR,GHRH,GHRHR,GRM5,GRPR,HCRT,HCRTR2,HTR6,IAPP,KNG1,LHB,LHCGR,LTB4R,MLN,NMU,NPS,NTS,NTSR1,P2RY1,P2RY2,PLA2G2A,PLA2G4A,PTGDR,PTGER1,PTGER2,PTGER4,PTGFR,PTGIR,PTH,PTH1R,SAA1,SERPINC1,TAC1,UTS2B
3	Mental disorders	C0004936	31	439	0.0	7.477567298105684e-07	ADCYAP1,ADCYAP1R1,ARSA,BDKRB1,BDKRB2,CALCA,CCK,CRH,CRHR1,DRD5,F2RL3,GNRHR2,GPBAR1,GPRC6A,GRM5,GRP,GRPR,HCRTR1,HTR7,LPAR3,NTSR1,OXT,OXTR,POMC,PTH,SCT,SIRT5,TAC1,TACR1,TRH,VIP
8	Inflammation	C0021368	35	647	0.0	1.994017946161515e-06	ADCYAP1,ADM,ADRB3,AGT,APP,BDKRB1,BDKRB2,CALCA,CCK,CRH,CRHR1,EDN1,EDN2,F2,F2R,F2RL1,F5,GAST,GHRL,HRH1,KNG1,LTB4R,NPFF,OXT,PLA2G4A,POMC,PTGER2,PTGER4,PTGFR,SAA1,TAC1,TACR1,TACR3,TSHR,VIP
9	Hypogonadotropic hypogonadism 7 with or without anosmia	C0022735	18	183	0.0	2.243270189431705e-06	ADRA1A,CYSLTR2,EDNRA,FSHB,FSHR,GNRH1,GNRHR,INSL3,KISS1,KISS1R,LHB,LPAR2,POMC,PROK2,PROKR2,RXFP2,TAC3,TACR3
13	Pituitary adenoma	C0032000	21	286	0.0	3.2402791625124627e-06	CASR,CGA,CRH,CRHR1,FSHB,FSHR,GHRH,GHRHR,GHRL,GHSR,GNAS,GNRH1,GNRHR,KISS1,KISS1R,MC2R,NTS,NTSR2,POMC,TRH,TRHR
33	Impotence	C0242350	16	126	0.0	8.225324027916252e-06	AGT,EDN1,EDNRA,FSHR,GNRH1,GNRHR,KISS1,KISS1R,P2RY1,P2RY2,PROK2,PROKR2,PTAFR,TAC3,TACR3,VIP
143	Abnormality of the pituitary gland	C0032002	49	645	1.2585488207150775e-12	3.564307078763709e-05	ADCYAP1,ADCYAP1R1,ADM,ADRA1A,ADRA1D,AGT,AVPR1B,CALCA,CCK,CRH,CRHR1,CYSLTR2,EDNRA,FSHB,FSHR,GAST,GCG,GHRH,GHRHR,GHRL,GHSR,GNA11,GNAS,GNRH1,GNRHR,INSL3,KISS1,KISS1R,LHB,LHCGR,LPAR2,MC2R,NTS,OXT,PMCH,POMC,PROK2,PROKR2,PTH,PTHLH,SCT,TACR3,TRH,TRHR,TSHB,TSHR,VIP,VIPR1,VIPR2
144	Pain	C0030193	40	628	2.3208102106764272e-12	3.589232303090728e-05	ADM,ADRA1A,BDKRB1,BDKRB2,CALCA,CASR,CCK,CCKBR,CHRM1,CRH,CYSLTR2,EDN1,EDN3,EDNRB,F2RL1,F5,FSHR,GHSR,GNA11,GNAQ,GNAS,GP1BB,HCRT,HRH1,HTR7,KNG1,MC1R,NTSR1,OXT,POMC,PROKR1,PTH,PTH1R,RYR1,SAA1,TAC1,TACR1,TACR3,TRH,VIP
145	Acth-Independent Macronodular Adrenal Hyperplasia	C1857451	11	40	2.546851618490109e-12	3.614157527417747e-05	EDNRA,GIP,GIPR,GNAS,GPBAR1,GPRC6A,HTR4,LPAR3,MC2R,MLN,POMC
