node_name	node_type	
DB04786	drug	
FSHR	drug_target	
PLA2G4A	drug_target	
P2RY2	drug_target	
F2	drug_target	
SIRT5	drug_target	
PLA2G2A	drug_target	
ARSA	drug_target	
RYR1	drug_target	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Alzheimer Disease	phenotype	
Mental disorders	phenotype	
Inflammation	phenotype	
Hypogonadotropic hypogonadism 7 with or without anosmia	phenotype	
Pituitary adenoma	phenotype	
Impotence	phenotype	
Abnormality of the pituitary gland	phenotype	
Pain	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Polycystic Ovary Syndrome	phenotype	
Bipolar affective disorder	phenotype	
Neoplasm of the colon	phenotype	
Gastrinoma	phenotype	
Neoplasm of the adrenal gland	phenotype	
Osteoporosis	phenotype	
Panic disorder 1	phenotype	
Depressive Disorder	phenotype	
Anxiety Disorders	phenotype	
Menstrual irregularities	phenotype	
Schizophrenia	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Male hypogonadism	phenotype	
Neuroendocrine neoplasm	phenotype	
Bradycardia	phenotype	
Anxiety	phenotype	
Decreased testosterone in males	phenotype	
Decreased serum testosterone level	phenotype	
Prostate carcinoma	phenotype	
Asthma	phenotype	
Weight Gain Adverse Event	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Aplasia/Hypoplasia of the breasts	phenotype	
Tumor Progression	phenotype	
Panic disorder syndrome 1 (2)	phenotype	
Female hypogonadism	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Bronchial Hyperreactivity	phenotype	
Generalized joint laxity	phenotype	
Hypoplasia of the uterus	phenotype	
Cushing's syndrome	phenotype	
Disorders of parathyroid gland	phenotype	
genetic hypertension	phenotype	
Irritable bowel syndrome with diarrhea	phenotype	
Migraine Disorders	phenotype	
Pulmonary hypertension, neonatal, susceptibility to	phenotype	
Major depressive disorder	phenotype	
Kidney Failure, Chronic	phenotype	
Hypotension	phenotype	
Female sexual dysfunction	phenotype	
Abnormal female reproductive system physiology	phenotype	
