node1	node2	edge_score	
DB00366	CHRM1	1.0	
DB00366	HRH1	1.0	
CHRM1	LPAR4	0.8354005520686607
CHRM1	XCL2	0.833320481754769
CHRM1	HRH1	0.8354005520686607
CHRM1	FFAR2	0.8354005520686607
CHRM1	AVPR1B	0.8354005520686607
CHRM1	TACR3	0.8252219011119977
CHRM1	F2	0.833320481754769
CHRM1	HCRTR1	0.8252219011119977
CHRM1	GCG	0.8407682499807351
CHRM1	GRP	0.8407682499807351
CHRM1	GPR132	0.8354005520686607
CHRM1	NMS	0.8407682499807351
CHRM1	PMCH	0.833320481754769
CHRM1	GAST	0.8407682499807351
CHRM1	TRH	0.8407682499807351
CHRM1	FFAR1	0.8354005520686607
CHRM1	CCKAR	0.8252219011119977
CHRM1	F2R	0.8252219011119977
CHRM1	CASR	0.8354005520686607
CHRM1	F2RL1	0.8252219011119977
CHRM1	EDN3	0.833320481754769
CHRM1	UTS2B	0.8407682499807351
CHRM1	PROK1	0.8407682499807351
CHRM1	PTGER1	0.8252219011119977
CHRM1	LPAR2	0.8252219011119977
CHRM1	F2RL3	0.8252219011119977
CHRM1	CCL23	0.833320481754769
CHRM1	LPAR6	0.8354005520686607
CHRM1	ADRA1D	0.8354005520686607
CHRM1	GHSR	0.8354005520686607
CHRM1	BDKRB2	0.8354005520686607
CHRM1	GNA11	0.8595571341704282
CHRM1	LTB4R	0.8252219011119977
CHRM1	GNB1	0.8526462282435747
CHRM1	UTS2	0.8407682499807351
CHRM1	GNRH1	0.8407682499807351
CHRM1	GHRL	0.8407682499807351
CHRM1	LPAR1	0.8252219011119977
CHRM1	GNRHR	0.8354005520686607
CHRM1	EDN1	0.833320481754769
CHRM1	HCRTR2	0.8252219011119977
CHRM1	EDN2	0.833320481754769
CHRM1	P2RY1	0.8354005520686607
CHRM1	GRM5	0.8354005520686607
CHRM1	ADRA1A	0.8354005520686607
CHRM1	NMBR	0.8354005520686607
CHRM1		1
CHRM1	GRPR	0.8354005520686607
CHRM1	PROK2	0.8407682499807351
CHRM1	F2RL2	0.8252219011119977
CHRM1	NTS	0.833320481754769
CHRM1	XCL1	0.833320481754769
CHRM1	GNRHR2	0.8354005520686607
CHRM1	UTS2R	0.8354005520686607
CHRM1	NMUR2	0.8421959353175904
CHRM1	ADRA1B	0.8354005520686607
CHRM1	KISS1R	0.8252219011119977
CHRM1	LPAR3	0.8252219011119977
CHRM1	P2RY6	0.8354005520686607
CHRM1	QRFPR	0.8252219011119977
CHRM1	GNRH2	0.8407682499807351
CHRM1	OXT	0.833320481754769
CHRM1	TACR1	0.8252219011119977
CHRM1	LTB4R2	0.8252219011119977
CHRM1	GCGR	0.8354005520686607
CHRM1	BDKRB1	0.8354005520686607
CHRM1	GNA14	0.8595571341704282
CHRM1	GPR4	0.8354005520686607
CHRM1	CYSLTR2	0.8252219011119977
CHRM1	P2RY10	0.8354005520686607
CHRM1	LPAR5	0.8252219011119977
CHRM1	AVPR1A	0.8354005520686607
CHRM1	QRFP	0.833320481754769
CHRM1	SAA1	0.833320481754769
CHRM1	OPN4	0.8354005520686607
CHRM1	HCRT	0.833320481754769
CHRM1	PTGFR	0.8252219011119977
CHRM1	EDNRB	0.8252219011119977
CHRM1	CCK	0.833320481754769
CHRM1	PROKR1	0.8354005520686607
CHRM1	NPSR1	0.8354005520686607
CHRM1	APP	0.833320481754769
CHRM1	GNA15	0.8595571341704282
CHRM1	NTSR2	0.8252219011119977
CHRM1	GNG2	0.8526462282435747
CHRM1	TAC3	0.833320481754769
CHRM1	CCKBR	0.8354005520686607
CHRM1	GPR17	0.8252219011119977
CHRM1	GNAQ	0.8595571341704282
CHRM1	KNG1	0.8407682499807351
CHRM1	HTR2B	0.8354005520686607
CHRM1	MLN	0.8407682499807351
CHRM1	FFAR3	0.8354005520686607
CHRM1	KISS1	0.833320481754769
CHRM1	P2RY2	0.8354005520686607
CHRM1	GRM1	0.8354005520686607
CHRM1	AGT	0.8407682499807351
CHRM1	XCR1	0.8252219011119977
CHRM1	GPRC6A	0.8252219011119977
CHRM1	NPFF	0.833320481754769
CHRM1	NPFFR2	0.8252219011119977
CHRM1	CYSLTR1	0.8252219011119977
CHRM1	NPFFR1	0.8252219011119977
CHRM1	NMB	0.8407682499807351
CHRM1	NPS	0.8407682499807351
CHRM1	PROKR2	0.8354005520686607
CHRM1	OXTR	0.8252219011119977
CHRM1	GPR65	0.8354005520686607
CHRM1	NTSR1	0.8252219011119977
CHRM1	TACR2	0.8252219011119977
CHRM1	P2RY11	0.8252219011119977
CHRM1	NMUR1	0.8354005520686607
CHRM1	MLNR	0.8354005520686607
CHRM1	GPR68	0.8354005520686607
CHRM1	PTAFR	0.8252219011119977
CHRM1	TAC1	0.833320481754769
CHRM1	EDNRA	0.8252219011119977
CHRM1	NMU	0.8407682499807351
CHRM1	TRHR	0.8354005520686607
HRH1	GRPR	0.8354005520686607
HRH1	NTSR1	0.8252219011119977
HRH1	BDKRB1	0.8354005520686607
HRH1	XCL1	0.833320481754769
HRH1	AVPR1B	0.8354005520686607
HRH1	EDN2	0.833320481754769
HRH1	CYSLTR1	0.8252219011119977
HRH1	EDN1	0.833320481754769
HRH1	F2RL1	0.8252219011119977
HRH1	GRP	0.8407682499807351
HRH1	NPFF	0.833320481754769
HRH1	LTB4R	0.8252219011119977
HRH1	NMU	0.8407682499807351
HRH1	GPR68	0.8354005520686607
HRH1	GCGR	0.8354005520686607
HRH1	MLN	0.8407682499807351
HRH1	NMBR	0.8354005520686607
HRH1	PTGFR	0.8252219011119977
HRH1	QRFP	0.833320481754769
HRH1	CHRM3	0.8354005520686607
HRH1	GRM5	0.8354005520686607
HRH1	GPR132	0.8354005520686607
HRH1	KISS1R	0.8252219011119977
HRH1	EDNRA	0.8252219011119977
HRH1	OPN4	0.8354005520686607
HRH1	GPR65	0.8354005520686607
HRH1	LPAR5	0.8252219011119977
HRH1	TAC3	0.833320481754769
HRH1	PROK1	0.8407682499807351
HRH1	GRM1	0.8354005520686607
HRH1	UTS2B	0.8407682499807351
HRH1	AVPR1A	0.8354005520686607
HRH1	QRFPR	0.8252219011119977
HRH1	CHRM1	0.8354005520686607
HRH1	ADRA1A	0.8354005520686607
HRH1	GNG2	0.8526462282435747
HRH1	UTS2	0.8407682499807351
HRH1	NPS	0.8407682499807351
HRH1	PMCH	0.833320481754769
HRH1	F2	0.833320481754769
HRH1	TRH	0.8407682499807351
HRH1	NPFFR2	0.8252219011119977
HRH1	F2R	0.8252219011119977
HRH1	EDN3	0.833320481754769
HRH1	GNRH1	0.8407682499807351
HRH1	BDKRB2	0.8354005520686607
HRH1	GNB1	0.8526462282435747
HRH1	CCK	0.833320481754769
HRH1	ADRA1B	0.8354005520686607
HRH1	P2RY1	0.8354005520686607
HRH1	LPAR6	0.8354005520686607
HRH1	HCRTR2	0.8252219011119977
HRH1	CYSLTR2	0.8252219011119977
HRH1	TACR2	0.8252219011119977
HRH1	SAA1	0.833320481754769
HRH1	FFAR1	0.8354005520686607
HRH1	GNRHR	0.8354005520686607
HRH1	ADRA1D	0.8354005520686607
HRH1	P2RY6	0.8354005520686607
HRH1	CHRM5	0.8354005520686607
HRH1	NMB	0.8407682499807351
HRH1	TAC1	0.833320481754769
HRH1	FFAR3	0.8354005520686607
HRH1	NPSR1	0.8354005520686607
HRH1	GNRHR2	0.8354005520686607
HRH1	TRHR	0.8354005520686607
HRH1		1
HRH1	HCRT	0.833320481754769
HRH1	HCRTR1	0.8252219011119977
HRH1	GPRC6A	0.8252219011119977
HRH1	PROKR1	0.8354005520686607
HRH1	F2RL3	0.8252219011119977
HRH1	CCKAR	0.8252219011119977
HRH1	MLNR	0.8354005520686607
HRH1	P2RY10	0.8354005520686607
HRH1	OXTR	0.8252219011119977
HRH1	NMS	0.8407682499807351
HRH1	F2RL2	0.8252219011119977
HRH1	CASR	0.8354005520686607
HRH1	PTAFR	0.8252219011119977
HRH1	NTS	0.833320481754769
HRH1	GCG	0.8407682499807351
HRH1	KNG1	0.8407682499807351
HRH1	AGT	0.8407682499807351
HRH1	P2RY11	0.8252219011119977
HRH1	LPAR1	0.8252219011119977
HRH1	XCL2	0.833320481754769
HRH1	NMUR2	0.8421959353175904
HRH1	FFAR2	0.8354005520686607
HRH1	LPAR3	0.8252219011119977
HRH1	NPFFR1	0.8252219011119977
HRH1	NTSR2	0.8252219011119977
HRH1	APP	0.833320481754769
HRH1	GAST	0.8407682499807351
HRH1	XCR1	0.8252219011119977
HRH1	CCKBR	0.8354005520686607
HRH1	PROKR2	0.8354005520686607
HRH1	GNA11	0.8595571341704282
HRH1	GNA14	0.8595571341704282
HRH1	GNA15	0.8595571341704282
HRH1	CCL23	0.833320481754769
HRH1	GHRL	0.8407682499807351
HRH1	OXT	0.833320481754769
HRH1	HTR2B	0.8354005520686607
HRH1	GHSR	0.8354005520686607
HRH1	GPR17	0.8252219011119977
HRH1	NMUR1	0.8354005520686607
HRH1	LTB4R2	0.8252219011119977
HRH1	PROK2	0.8407682499807351
HRH1	GNAQ	0.8595571341704282
HRH1	EDNRB	0.8252219011119977
HRH1	GNRH2	0.8407682499807351
HRH1	TACR1	0.8252219011119977
HRH1	UTS2R	0.8354005520686607
HRH1	KISS1	0.833320481754769
HRH1	TACR3	0.8252219011119977
HRH1	LPAR2	0.8252219011119977
HRH1	P2RY2	0.8354005520686607
HRH1	PTGER1	0.8252219011119977
HRH1	GPR4	0.8354005520686607
HRH1	LPAR4	0.8354005520686607
Male hypogonadism	GNRH1	1.0	
Male hypogonadism	GNRHR	1.0	
Male hypogonadism	KISS1	1.0	
Male hypogonadism	KISS1R	1.0	
Male hypogonadism	PROK2	1.0	
Male hypogonadism	PROKR2	1.0	
Male hypogonadism	TAC3	1.0	
Male hypogonadism	TACR3	1.0	
Decreased serum testosterone level	GNRH1	1.0	
Decreased serum testosterone level	GNRHR	1.0	
Decreased serum testosterone level	KISS1	1.0	
Decreased serum testosterone level	KISS1R	1.0	
Decreased serum testosterone level	PROK2	1.0	
Decreased serum testosterone level	PROKR2	1.0	
Decreased serum testosterone level	TAC3	1.0	
Decreased serum testosterone level	TACR3	1.0	
Anosmia	GNRH1	1.0	
Anosmia	GNRHR	1.0	
Anosmia	KISS1	1.0	
Anosmia	KISS1R	1.0	
Anosmia	PROK2	1.0	
Anosmia	PROKR2	1.0	
Anosmia	TAC3	1.0	
Anosmia	TACR3	1.0	
Female sexual dysfunction	GNRH1	1.0	
Female sexual dysfunction	GNRHR	1.0	
Female sexual dysfunction	KISS1	1.0	
Female sexual dysfunction	KISS1R	1.0	
Female sexual dysfunction	PROK2	1.0	
Female sexual dysfunction	PROKR2	1.0	
Female sexual dysfunction	TAC3	1.0	
Female sexual dysfunction	TACR3	1.0	
Absence of secondary sex characteristics	GNRH1	1.0	
Absence of secondary sex characteristics	GNRHR	1.0	
Absence of secondary sex characteristics	KISS1	1.0	
Absence of secondary sex characteristics	KISS1R	1.0	
Absence of secondary sex characteristics	PROK2	1.0	
Absence of secondary sex characteristics	PROKR2	1.0	
Absence of secondary sex characteristics	TAC3	1.0	
Absence of secondary sex characteristics	TACR3	1.0	
Abnormal female reproductive system physiology	GNRH1	1.0	
Abnormal female reproductive system physiology	GNRHR	1.0	
Abnormal female reproductive system physiology	KISS1	1.0	
Abnormal female reproductive system physiology	KISS1R	1.0	
Abnormal female reproductive system physiology	PROK2	1.0	
Abnormal female reproductive system physiology	PROKR2	1.0	
Abnormal female reproductive system physiology	TAC3	1.0	
Abnormal female reproductive system physiology	TACR3	1.0	
Panic disorder 1	AGT	1.0	
Panic disorder 1	AVPR1B	1.0	
Panic disorder 1	BDKRB2	1.0	
Panic disorder 1	CCK	1.0	
Panic disorder 1	CCKAR	1.0	
Panic disorder 1	CCKBR	1.0	
