rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
40	genetic hypertension	C0598428	3	27	4.854388002684118e-10	4.0160642570281125e-05	ACE,AGT,REN
41	Otosclerosis	C0029899	3	28	6.183110690116678e-10	4.116465863453815e-05	ACE,AGT,REN
43	Abnormal urine output	C3693260	3	32	9.960445801482365e-10	4.317269076305221e-05	ACE,AGT,REN
44	Hypervolemia	C0546817	3	34	1.2616081512817345e-09	4.417670682730924e-05	ACE,AGT,REN
45	Abnormality of renal excretion	C4023579	3	35	1.4328058739465632e-09	4.5180722891566266e-05	ACE,AGT,REN
49	Nephrosclerosis	C0027719	3	38	2.0381393239787826e-09	4.919678714859438e-05	ACE,AGT,REN
50	Coronary Thrombosis	C0010072	3	39	2.2690976875239244e-09	5.020080321285141e-05	ACE,AGT,REN
55	Ventricular tachycardia, catecholaminergic polymorphic, 2	C0042514	3	46	4.532650477173661e-09	5.522088353413655e-05	ACE,AGT,REN
56	Focal segmental glomerulosclerosis 1	C0333497	3	46	4.532650477173661e-09	5.6224899598393576e-05	ACE,AGT,REN
57	Renovascular hypertension	C0020545	3	48	5.320343943182593e-09	5.72289156626506e-05	ACE,AGT,REN
61	Nephrosis	C0027720	3	51	6.871349156334361e-09	6.124497991967871e-05	ACE,AGT,REN
63	Diabetic Cardiomyopathies	C0853897	3	56	1.0023595176100741e-08	6.325301204819276e-05	ACE,AGT,REN
64	Henoch-Schoenlein Purpura	C0034152	3	58	1.1543297095961691e-08	6.425702811244979e-05	ACE,AGT,REN
65	Lymphangiomyomatosis	C0751674	3	58	1.1543297095961691e-08	6.526104417670683e-05	ACE,AGT,REN
69	Aortic valve disease 2	C3542024	3	60	1.3335166970662726e-08	6.927710843373494e-05	ACE,AGT,REN
70	Hemolytic uremic syndrome	C0019061	3	65	1.8439270332848423e-08	7.028112449799197e-05	ACE,AGT,REN
71	Renal dysplasia	C0235831	3	66	1.960762319175302e-08	7.1285140562249e-05	ACE,AGT,REN
72	Microalbuminuria	C0730345	3	68	2.2186714354610615e-08	7.228915662650602e-05	ACE,AGT,REN
75	Cardiac fibrosis	C1397307	3	69	2.3566365414673385e-08	7.530120481927712e-05	ACE,AGT,REN
76	Uremia	C0041948	3	72	2.7988025341763034e-08	7.630522088353414e-05	ACE,AGT,REN
78	Abnormality of the renal tubule	C4021826	3	75	3.305873796932701e-08	7.83132530120482e-05	ACE,AGT,REN
80	Brain Infarction	C0751955	3	77	3.6782992096640044e-08	8.032128514056225e-05	ACE,AGT,REN
83	Coronary artery stenosis	C0242231	3	81	4.507450868107554e-08	8.333333333333333e-05	ACE,AGT,REN
84	Membranous nephropathy, susceptibility to	C0017665	3	84	5.234144573318389e-08	8.433734939759036e-05	ACE,AGT,REN
85	Mitral Valve Prolapse	C0026267	3	84	5.234144573318389e-08	8.53413654618474e-05	ACE,AGT,REN
86	Chronic heart failure	C0264716	3	84	5.234144573318389e-08	8.634538152610442e-05	ACE,AGT,REN
87	Pulmonary hypoplasia	C0265783	3	87	6.031897592517765e-08	8.734939759036145e-05	ACE,AGT,REN
88	Diabetic Angiopathies	C0011875	3	88	6.318888456924299e-08	8.835341365461848e-05	ACE,AGT,REN
89	Mitral regurgitation	C0026266	3	88	6.318888456924299e-08	8.93574297188755e-05	ACE,AGT,REN
93	Oligohydramnios	C0079924	3	89	6.613811298628036e-08	9.337349397590361e-05	ACE,AGT,REN
94	Aplasia/Hypoplasia of the lungs	C4024996	3	90	6.917336758949233e-08	9.437751004016064e-05	ACE,AGT,REN
95	Angina, Unstable	C0002965	3	92	7.563562320900274e-08	9.538152610441768e-05	ACE,AGT,REN
96	Aortic regurgitation	C0003504	3	92	7.563562320900274e-08	9.638554216867471e-05	ACE,AGT,REN
100	Interstitial fibrosis	C3887486	3	97	9.366795172827125e-08	0.00010040160642570282	ACE,AGT,REN
105	Acute pancreatitis	C0001339	3	103	1.1929111909392276e-07	0.00010542168674698796	ACE,AGT,REN
108	Glomerulosclerosis, Focal Segmental	C0178664	3	109	1.4985735308226111e-07	0.00010843373493975904	ACE,AGT,REN
111	Carotid Atherosclerosis	C0577631	3	111	1.6124869639533301e-07	0.00011144578313253013	ACE,AGT,REN
112	Portal hypertension, noncirrhotic	C0020541	3	112	1.6720541506920483e-07	0.00011244979919678715	ACE,AGT,REN
113	High altitude pulmonary edema	C0340100	2	25	1.7989087552905403e-07	0.00011345381526104418	ACE,REN
114	Intracranial Aneurysm	C0007766	3	116	1.9254038741145507e-07	0.0001144578313253012	ACE,AGT,REN
115	Large fontanelles	C0456132	3	116	1.9254038741145507e-07	0.00011546184738955825	ACE,AGT,REN
125	Focal segmental glomerulosclerosis	C0017668	3	121	2.2820510048315867e-07	0.00012550200803212853	ACE,AGT,REN
126	Esophageal varix	C0014867	2	27	2.2863070969769694e-07	0.00012650602409638553	ACE,AGT
127	Cardiovascular morbidity	C1301700	2	27	2.2863070969769694e-07	0.00012751004016064258	ACE,REN
128	Thrombophilia	C0398623	3	125	2.6004115560862573e-07	0.00012851405622489958	ACE,AGT,REN
129	Old myocardial infarction	C0155668	2	29	2.8546191521705566e-07	0.00012951807228915664	ACE,REN
130	Aortic atherosclerosis	C0155733	2	29	2.8546191521705566e-07	0.00013052208835341366	ACE,AGT
131	Proliferative retinopathy	C0339467	2	29	2.8546191521705566e-07	0.0001315261044176707	ACE,REN
132	Proteinuria Adverse Event	C1962972	2	29	2.8546191521705566e-07	0.00013253012048192772	ACE,AGT
133	Vesicoureteral reflux	C0042580	3	128	2.8598490475761906e-07	0.00013353413654618475	ACE,AGT,REN
134	Hypotension	C0020649	3	129	2.950988080563377e-07	0.00013453815261044177	ACE,AGT,REN
135	Ventricular Fibrillation Adverse Event	C0232197	3	131	3.13860791356646e-07	0.0001355421686746988	ACE,AGT,REN
136	Pancreatic fibrosis	C0267952	2	30	3.170802277407958e-07	0.00013654618473895583	ACE,REN
137	Pregnancy Complications	C0032962	3	132	3.2359477453169916e-07	0.00013755020080321285	ACE,AGT,REN
138	Biliary cirrhosis	C0023892	3	133	3.335538931725779e-07	0.00013855421686746988	ACE,AGT,REN
139	Aortic valve stenosis	C0003507	3	141	4.2160024393833595e-07	0.0001395582329317269	ACE,AGT,REN
140	Enzyme inhibition disorder	C0877008	2	33	4.2582452486339406e-07	0.00014056224899598393	AGT,REN
141	Respiratory Distress Syndrome, Adult	C0035222	3	142	4.33708616354167e-07	0.000141566265060241	ACE,AGT,REN
142	Renal hypertension	C0020544	2	34	4.668553100772854e-07	0.000142570281124498	ACE,AGT
143	Aortic aneurysm without mention of rupture NOS	C0340629	2	34	4.668553100772854e-07	0.00014357429718875504	ACE,AGT
144	Polycystic kidney disease, autosomal dominant	C0022680	3	147	4.981938835912914e-07	0.00014457831325301204	ACE,AGT,REN
