node1	node2	edge_score	
DB02032	ACE	1.0	
ACE	rs4646994	0.99
ACE		1
ACE	rs1799752	0.99
ACE	rs4359	0.99
ACE	rs4344	0.99
ACE	rs4343	0.99
ACE	rs4292	0.99
ACE	AGT	0.8580060915991022
REN	rs2368564	0.8350751364976787
ACE	rs4291	0.99
ACE	rs4341	0.99
ACE	REN	0.8435102388865442
genetic hypertension	ACE	1.0	
genetic hypertension	AGT	1.0	
genetic hypertension	REN	1.0	
Otosclerosis	ACE	1.0	
Otosclerosis	AGT	1.0	
Otosclerosis	REN	1.0	
Abnormal urine output	ACE	1.0	
Abnormal urine output	AGT	1.0	
Abnormal urine output	REN	1.0	
Hypervolemia	ACE	1.0	
Hypervolemia	AGT	1.0	
Hypervolemia	REN	1.0	
Abnormality of renal excretion	ACE	1.0	
Abnormality of renal excretion	AGT	1.0	
Abnormality of renal excretion	REN	1.0	
Nephrosclerosis	ACE	1.0	
Nephrosclerosis	AGT	1.0	
Nephrosclerosis	REN	1.0	
Coronary Thrombosis	ACE	1.0	
Coronary Thrombosis	AGT	1.0	
Coronary Thrombosis	REN	1.0	
Ventricular tachycardia, catecholaminergic polymorphic, 2	ACE	1.0	
Ventricular tachycardia, catecholaminergic polymorphic, 2	AGT	1.0	
Ventricular tachycardia, catecholaminergic polymorphic, 2	REN	1.0	
Focal segmental glomerulosclerosis 1	ACE	1.0	
Focal segmental glomerulosclerosis 1	AGT	1.0	
Focal segmental glomerulosclerosis 1	REN	1.0	
Renovascular hypertension	ACE	1.0	
Renovascular hypertension	AGT	1.0	
Renovascular hypertension	REN	1.0	
Nephrosis	ACE	1.0	
Nephrosis	AGT	1.0	
Nephrosis	REN	1.0	
Diabetic Cardiomyopathies	ACE	1.0	
Diabetic Cardiomyopathies	AGT	1.0	
Diabetic Cardiomyopathies	REN	1.0	
Henoch-Schoenlein Purpura	ACE	1.0	
Henoch-Schoenlein Purpura	AGT	1.0	
Henoch-Schoenlein Purpura	REN	1.0	
Lymphangiomyomatosis	ACE	1.0	
Lymphangiomyomatosis	AGT	1.0	
Lymphangiomyomatosis	REN	1.0	
Aortic valve disease 2	ACE	1.0	
Aortic valve disease 2	AGT	1.0	
Aortic valve disease 2	REN	1.0	
Hemolytic uremic syndrome	ACE	1.0	
Hemolytic uremic syndrome	AGT	1.0	
Hemolytic uremic syndrome	REN	1.0	
Renal dysplasia	ACE	1.0	
Renal dysplasia	AGT	1.0	
Renal dysplasia	REN	1.0	
Microalbuminuria	ACE	1.0	
Microalbuminuria	AGT	1.0	
Microalbuminuria	REN	1.0	
Cardiac fibrosis	ACE	1.0	
Cardiac fibrosis	AGT	1.0	
Cardiac fibrosis	REN	1.0	
Uremia	ACE	1.0	
Uremia	AGT	1.0	
Uremia	REN	1.0	
Abnormality of the renal tubule	ACE	1.0	
Abnormality of the renal tubule	AGT	1.0	
Abnormality of the renal tubule	REN	1.0	
Brain Infarction	ACE	1.0	
Brain Infarction	AGT	1.0	
Brain Infarction	REN	1.0	
Coronary artery stenosis	ACE	1.0	
Coronary artery stenosis	AGT	1.0	
Coronary artery stenosis	REN	1.0	
Membranous nephropathy, susceptibility to	ACE	1.0	
Membranous nephropathy, susceptibility to	AGT	1.0	
Membranous nephropathy, susceptibility to	REN	1.0	
Mitral Valve Prolapse	ACE	1.0	
Mitral Valve Prolapse	AGT	1.0	
Mitral Valve Prolapse	REN	1.0	
Chronic heart failure	ACE	1.0	
Chronic heart failure	AGT	1.0	
Chronic heart failure	REN	1.0	
Pulmonary hypoplasia	ACE	1.0	
Pulmonary hypoplasia	AGT	1.0	
Pulmonary hypoplasia	REN	1.0	
Diabetic Angiopathies	ACE	1.0	
Diabetic Angiopathies	AGT	1.0	
Diabetic Angiopathies	REN	1.0	
Mitral regurgitation	ACE	1.0	
Mitral regurgitation	AGT	1.0	
Mitral regurgitation	REN	1.0	
Oligohydramnios	ACE	1.0	
Oligohydramnios	AGT	1.0	
Oligohydramnios	REN	1.0	
Aplasia/Hypoplasia of the lungs	ACE	1.0	
Aplasia/Hypoplasia of the lungs	AGT	1.0	
Aplasia/Hypoplasia of the lungs	REN	1.0	
Angina, Unstable	ACE	1.0	
Angina, Unstable	AGT	1.0	
Angina, Unstable	REN	1.0	
Aortic regurgitation	ACE	1.0	
Aortic regurgitation	AGT	1.0	
Aortic regurgitation	REN	1.0	
Interstitial fibrosis	ACE	1.0	
Interstitial fibrosis	AGT	1.0	
Interstitial fibrosis	REN	1.0	
Acute pancreatitis	ACE	1.0	
Acute pancreatitis	AGT	1.0	
Acute pancreatitis	REN	1.0	
Glomerulosclerosis, Focal Segmental	ACE	1.0	
Glomerulosclerosis, Focal Segmental	AGT	1.0	
Glomerulosclerosis, Focal Segmental	REN	1.0	
Carotid Atherosclerosis	ACE	1.0	
Carotid Atherosclerosis	AGT	1.0	
Carotid Atherosclerosis	REN	1.0	
Portal hypertension, noncirrhotic	ACE	1.0	
Portal hypertension, noncirrhotic	AGT	1.0	
Portal hypertension, noncirrhotic	REN	1.0	
High altitude pulmonary edema	ACE	1.0	
High altitude pulmonary edema	REN	1.0	
Intracranial Aneurysm	ACE	1.0	
Intracranial Aneurysm	AGT	1.0	
Intracranial Aneurysm	REN	1.0	
Large fontanelles	ACE	1.0	
Large fontanelles	AGT	1.0	
Large fontanelles	REN	1.0	
Focal segmental glomerulosclerosis	ACE	1.0	
Focal segmental glomerulosclerosis	AGT	1.0	
Focal segmental glomerulosclerosis	REN	1.0	
Esophageal varix	ACE	1.0	
Esophageal varix	AGT	1.0	
Cardiovascular morbidity	ACE	1.0	
Cardiovascular morbidity	REN	1.0	
Thrombophilia	ACE	1.0	
Thrombophilia	AGT	1.0	
Thrombophilia	REN	1.0	
Old myocardial infarction	ACE	1.0	
Old myocardial infarction	REN	1.0	
Aortic atherosclerosis	ACE	1.0	
Aortic atherosclerosis	AGT	1.0	
Proliferative retinopathy	ACE	1.0	
Proliferative retinopathy	REN	1.0	
Proteinuria Adverse Event	ACE	1.0	
Proteinuria Adverse Event	AGT	1.0	
Vesicoureteral reflux	ACE	1.0	
Vesicoureteral reflux	AGT	1.0	
Vesicoureteral reflux	REN	1.0	
Hypotension	ACE	1.0	
Hypotension	AGT	1.0	
Hypotension	REN	1.0	
Ventricular Fibrillation Adverse Event	ACE	1.0	
Ventricular Fibrillation Adverse Event	AGT	1.0	
Ventricular Fibrillation Adverse Event	REN	1.0	
Pancreatic fibrosis	ACE	1.0	
Pancreatic fibrosis	REN	1.0	
Pregnancy Complications	ACE	1.0	
Pregnancy Complications	AGT	1.0	
Pregnancy Complications	REN	1.0	
Biliary cirrhosis	ACE	1.0	
Biliary cirrhosis	AGT	1.0	
Biliary cirrhosis	REN	1.0	
Aortic valve stenosis	ACE	1.0	
Aortic valve stenosis	AGT	1.0	
Aortic valve stenosis	REN	1.0	
Enzyme inhibition disorder	AGT	1.0	
Enzyme inhibition disorder	REN	1.0	
Respiratory Distress Syndrome, Adult	ACE	1.0	
Respiratory Distress Syndrome, Adult	AGT	1.0	
Respiratory Distress Syndrome, Adult	REN	1.0	
Renal hypertension	ACE	1.0	
Renal hypertension	AGT	1.0	
Aortic aneurysm without mention of rupture NOS	ACE	1.0	
Aortic aneurysm without mention of rupture NOS	AGT	1.0	
Polycystic kidney disease, autosomal dominant	ACE	1.0	
Polycystic kidney disease, autosomal dominant	AGT	1.0	
Polycystic kidney disease, autosomal dominant	REN	1.0	
Alport syndrome	ACE	1.0	
Alport syndrome	REN	1.0	
Tachycardia	ACE	1.0	
Tachycardia	AGT	1.0	
Tachycardia	REN	1.0	
{Aneurysm, familial abdominal 3} (2)	ACE	1.0	
{Aneurysm, familial abdominal 3} (2)	AGT	1.0	
{Aneurysm, familial abdominal 3} (2)	REN	1.0	
Peptic Ulcer Hemorrhage	ACE	1.0	
Peptic Ulcer Hemorrhage	AGT	1.0	
Sudden death	ACE	1.0	
Sudden death	AGT	1.0	
Pregnancy associated hypertension	ACE	1.0	
Pregnancy associated hypertension	AGT	1.0	
Polycystic Kidney, Autosomal Dominant	ACE	1.0	
Polycystic Kidney, Autosomal Dominant	AGT	1.0	
Polycystic Kidney, Autosomal Dominant	REN	1.0	
Glomerulopathy	ACE	1.0	
Glomerulopathy	AGT	1.0	
Glomerulopathy	REN	1.0	
Alkalosis	AGT	1.0	
Alkalosis	REN	1.0	
Cerebroretinal microangiopathy with calcifications and cysts 1	ACE	1.0	
Cerebroretinal microangiopathy with calcifications and cysts 1	AGT	1.0	
Cerebral aneurysm	AGT	1.0	
Cerebral aneurysm	REN	1.0	
Carotid Stenosis	ACE	1.0	
Carotid Stenosis	AGT	1.0	
Carotid Stenosis	REN	1.0	
Abnormality of the nephron	ACE	1.0	
Abnormality of the nephron	AGT	1.0	
Abnormality of the nephron	REN	1.0	
Albuminuria	ACE	1.0	
Albuminuria	AGT	1.0	
Albuminuria	REN	1.0	
Obstructive nephropathy	AGT	1.0	
Obstructive nephropathy	REN	1.0	
Granulomatosis	ACE	1.0	
Granulomatosis	AGT	1.0	
46,XY gonadal dysgenesis, partial, with minifascicular neuropathy	ACE	1.0	
46,XY gonadal dysgenesis, partial, with minifascicular neuropathy	AGT	1.0	
46,XY gonadal dysgenesis, partial, with minifascicular neuropathy	REN	1.0	
Obstructive sleep apnea	ACE	1.0	
Obstructive sleep apnea	AGT	1.0	
Obstructive sleep apnea	REN	1.0	
Chronic rejection of renal transplant	ACE	1.0	
Chronic rejection of renal transplant	AGT	1.0	
Hypotension, Orthostatic	ACE	1.0	
Hypotension, Orthostatic	AGT	1.0	
Hyperaldosteronism, familial, type IV	AGT	1.0	
Hyperaldosteronism, familial, type IV	REN	1.0	
Tubulointerstitial nephritis	ACE	1.0	
Tubulointerstitial nephritis	AGT	1.0	
Fabry disease	ACE	1.0	
Fabry disease	AGT	1.0	
Drug usage	ACE	1.0	
Drug usage	AGT	1.0	
Familial hypercholesterolemia	ACE	1.0	
Familial hypercholesterolemia	AGT	1.0	
Familial hypercholesterolemia	REN	1.0	
Chronic Periodontitis	ACE	1.0	
Chronic Periodontitis	AGT	1.0	
Chronic Periodontitis	REN	1.0	
Eclampsia	ACE	1.0	
Eclampsia	AGT	1.0	
Eclampsia	REN	1.0	
Chronic Kidney Insufficiency	ACE	1.0	
Chronic Kidney Insufficiency	AGT	1.0	
Chronic Kidney Insufficiency	REN	1.0	
Aortic Aneurysm, Abdominal	ACE	1.0	
Aortic Aneurysm, Abdominal	AGT	1.0	
Aortic Aneurysm, Abdominal	REN	1.0	
Fibrosis	ACE	1.0	
Fibrosis	AGT	1.0	
Fibrosis	REN	1.0	
Coronary Restenosis	ACE	1.0	
Coronary Restenosis	AGT	1.0	
Epilepsy, Temporal Lobe	ACE	1.0	
Epilepsy, Temporal Lobe	AGT	1.0	
Epilepsy, Temporal Lobe	REN	1.0	
Fetal Membranes, Premature Rupture	ACE	1.0	
Fetal Membranes, Premature Rupture	AGT	1.0	
Fetal Membranes, Premature Rupture	REN	1.0	
Other rheumatic heart disease	ACE	1.0	
Other rheumatic heart disease	AGT	1.0	
Chorioamnionitis	ACE	1.0	
Chorioamnionitis	AGT	1.0	
Chorioamnionitis	REN	1.0	
Abnormality of cranial sutures	ACE	1.0	
Abnormality of cranial sutures	AGT	1.0	
Abnormality of cranial sutures	REN	1.0	
Ovarian Failure, Premature	ACE	1.0	
Ovarian Failure, Premature	AGT	1.0	
Ovarian Failure, Premature	REN	1.0	
Premature Obstetric Labor	ACE	1.0	
Premature Obstetric Labor	AGT	1.0	
Premature Obstetric Labor	REN	1.0	
Abnormality of the amniotic fluid	ACE	1.0	
Abnormality of the amniotic fluid	AGT	1.0	
Abnormality of the amniotic fluid	REN	1.0	
Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	ACE	1.0	
Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	AGT	1.0	
Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	REN	1.0	
Chromosome Xq28 deletion syndrome	ACE	1.0	
Chromosome Xq28 deletion syndrome	AGT	1.0	
Marfan syndrome	ACE	1.0	
Marfan syndrome	AGT	1.0	
Hypercholesterolemia, autosomal dominant, type B	ACE	1.0	
Hypercholesterolemia, autosomal dominant, type B	AGT	1.0	
Hypercholesterolemia, autosomal dominant, type B	REN	1.0	
Endothelial dysfunction	ACE	1.0	
Endothelial dysfunction	AGT	1.0	
Endothelial dysfunction	REN	1.0	
Restenosis	ACE	1.0	
Restenosis	AGT	1.0	
Restenosis	REN	1.0	
Lupus Nephritis	ACE	1.0	
Lupus Nephritis	AGT	1.0	
Lupus Nephritis	REN	1.0	
Familial hypertrophic cardiomyopathy 11	ACE	1.0	
Familial hypertrophic cardiomyopathy 11	AGT	1.0	
Aortic aneurysm, familial thoracic 11, susceptibility to	ACE	1.0	
Aortic aneurysm, familial thoracic 11, susceptibility to	AGT	1.0	
Aortic aneurysm, familial thoracic 11, susceptibility to	REN	1.0	
Meningococcal Infections	ACE	1.0	
Meningococcal Infections	AGT	1.0	
Aortic dissection	ACE	1.0	
Aortic dissection	AGT	1.0	
Stage 5 chronic kidney disease	ACE	1.0	
Stage 5 chronic kidney disease	AGT	1.0	
Stage 5 chronic kidney disease	REN	1.0	
Diaphragmatic hernia	ACE	1.0	
Diaphragmatic hernia	AGT	1.0	
Acute myocardial infarction	ACE	1.0	
Acute myocardial infarction	AGT	1.0	
Acute myocardial infarction	REN	1.0	
Primary hyperaldosteronism	AGT	1.0	
Primary hyperaldosteronism	REN	1.0	
Proliferative diabetic retinopathy	ACE	1.0	
Proliferative diabetic retinopathy	REN	1.0	
Retinopathy of Prematurity	ACE	1.0	
Retinopathy of Prematurity	AGT	1.0	
Sleep apnea	ACE	1.0	
Sleep apnea	AGT	1.0	
Right ventricular hypertrophy	ACE	1.0	
Right ventricular hypertrophy	REN	1.0	
Ventricular Dysfunction, Right	ACE	1.0	
Ventricular Dysfunction, Right	AGT	1.0	
{Atopy, susceptibility to}, 147050 (3)	ACE	1.0	
{Atopy, susceptibility to}, 147050 (3)	AGT	1.0	
MAJOR AFFECTIVE DISORDER 4	ACE	1.0	
MAJOR AFFECTIVE DISORDER 4	AGT	1.0	
MAJOR AFFECTIVE DISORDER 5	ACE	1.0	
MAJOR AFFECTIVE DISORDER 5	AGT	1.0	
MAJOR AFFECTIVE DISORDER 6	ACE	1.0	
MAJOR AFFECTIVE DISORDER 6	AGT	1.0	
Major affective disorder 7	ACE	1.0	
Major affective disorder 7	AGT	1.0	
MAJOR AFFECTIVE DISORDER 8	ACE	1.0	
MAJOR AFFECTIVE DISORDER 8	AGT	1.0	
MAJOR AFFECTIVE DISORDER 9	ACE	1.0	
MAJOR AFFECTIVE DISORDER 9	AGT	1.0	
 Cerebrovascular disease, occlusive (3)	ACE	1.0	
 Cerebrovascular disease, occlusive (3)	AGT	1.0	
Abnormality of fontanelles	ACE	1.0	
Abnormality of fontanelles	AGT	1.0	
Abnormality of fontanelles	REN	1.0	
Bleeding with minor or no trauma	AGT	1.0	
Bleeding with minor or no trauma	REN	1.0	
Homocysteinemia due to MTHFR deficiency	ACE	1.0	
Homocysteinemia due to MTHFR deficiency	AGT	1.0	
Granulomatosis with Polyangiitis	ACE	1.0	
Granulomatosis with Polyangiitis	AGT	1.0	
Hypoglycemia, neonatal, simulating foetopathia diabetica	ACE	1.0	
Hypoglycemia, neonatal, simulating foetopathia diabetica	AGT	1.0	
Hypoglycemia, neonatal, simulating foetopathia diabetica	REN	1.0	
Postoperative Complications	ACE	1.0	
Postoperative Complications	AGT	1.0	
Glomerulonephritis, Membranous	ACE	1.0	
Glomerulonephritis, Membranous	AGT	1.0	
Glomerulonephritis, Membranous	REN	1.0	
Diabetic Retinopathy	ACE	1.0	
Diabetic Retinopathy	AGT	1.0	
Diabetic Retinopathy	REN	1.0	
Acute kidney injury	ACE	1.0	
Acute kidney injury	AGT	1.0	
Acute kidney injury	REN	1.0	
Migraine with aura	ACE	1.0	
Migraine with aura	AGT	1.0	
Left ventricular hypertrophy	ACE	1.0	
Left ventricular hypertrophy	AGT	1.0	
Left ventricular hypertrophy	REN	1.0	
Ventricular hypertrophy	ACE	1.0	
Ventricular hypertrophy	AGT	1.0	
Duodenal Ulcer	ACE	1.0	
Duodenal Ulcer	AGT	1.0	
Substance Withdrawal Syndrome	ACE	1.0	
Substance Withdrawal Syndrome	REN	1.0	
Panic disorder 1	ACE	1.0	
Panic disorder 1	AGT	1.0	
Cardiomegaly	ACE	1.0	
Cardiomegaly	AGT	1.0	
Cardiomegaly	REN	1.0	
Stable angina	ACE	1.0	
Stable angina	REN	1.0	
Dementia, Vascular	ACE	1.0	
Dementia, Vascular	AGT	1.0	
Gastrointestinal Diseases	ACE	1.0	
Gastrointestinal Diseases	AGT	1.0	
Infarction, Middle Cerebral Artery	ACE	1.0	
Infarction, Middle Cerebral Artery	AGT	1.0	
Renal ischaemia	AGT	1.0	
Renal ischaemia	REN	1.0	
Hyperlipidemia, combined, 1	ACE	1.0	
Hyperlipidemia, combined, 1	AGT	1.0	
Hyperlipidemia, combined, 1	REN	1.0	
Pterygium	ACE	1.0	
Pterygium	AGT	1.0	
Cough	ACE	1.0	
Cough	REN	1.0	
Ischaemic cerebral infarction	ACE	1.0	
Ischaemic cerebral infarction	AGT	1.0	
Ischaemic cerebral infarction	REN	1.0	
Abnormal systemic blood pressure	ACE	1.0	
Abnormal systemic blood pressure	AGT	1.0	
Abnormal systemic blood pressure	REN	1.0	
Adrenocortical adenoma	AGT	1.0	
Adrenocortical adenoma	REN	1.0	
Type 1 diabetic neuropathy	ACE	1.0	
Type 1 diabetic neuropathy	AGT	1.0	
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy	ACE	1.0	
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy	AGT	1.0	
Essential hypertension	ACE	1.0	
Essential hypertension	AGT	1.0	
Essential hypertension	REN	1.0	
DNA Damage	ACE	1.0	
DNA Damage	AGT	1.0	
Malaria, Cerebral	ACE	1.0	
Malaria, Cerebral	AGT	1.0	
Severe Acute Respiratory Syndrome	ACE	1.0	
Severe Acute Respiratory Syndrome	AGT	1.0	
Periodontitis	ACE	1.0	
Periodontitis	AGT	1.0	
Periodontitis	REN	1.0	
Pulmonary hypertension, neonatal, susceptibility to	ACE	1.0	
Pulmonary hypertension, neonatal, susceptibility to	AGT	1.0	
Pulmonary hypertension, neonatal, susceptibility to	REN	1.0	
Migraine Disorders	ACE	1.0	
Migraine Disorders	AGT	1.0	
Migraine Disorders	REN	1.0	
Intraocular pressure disorder	AGT	1.0	
Intraocular pressure disorder	REN	1.0	
Calcinosis	ACE	1.0	
Calcinosis	AGT	1.0	
Ischemic Cerebrovascular Accident	ACE	1.0	
Ischemic Cerebrovascular Accident	AGT	1.0	
Ischemic Cerebrovascular Accident	REN	1.0	
Chronic kidney disease	ACE	1.0	
Chronic kidney disease	AGT	1.0	
Chronic kidney disease	REN	1.0	
NOONAN-LIKE/MULTIPLE GIANT CELL LESION SYNDROME (disorder)	ACE	1.0	
NOONAN-LIKE/MULTIPLE GIANT CELL LESION SYNDROME (disorder)	AGT	1.0	
Posttraumatic stress disorder	ACE	1.0	
Posttraumatic stress disorder	REN	1.0	
Renal insufficiency	ACE	1.0	
Renal insufficiency	AGT	1.0	
Renal insufficiency	REN	1.0	
Hyperinsulinemia	ACE	1.0	
Hyperinsulinemia	AGT	1.0	
Hyperinsulinemia	REN	1.0	
Glaucoma, Open-Angle	ACE	1.0	
Glaucoma, Open-Angle	AGT	1.0	
Deep venous thrombosis	ACE	1.0	
Deep venous thrombosis	REN	1.0	
Renal Insufficiency, Chronic	ACE	1.0	
Renal Insufficiency, Chronic	AGT	1.0	
Renal Insufficiency, Chronic	REN	1.0	
Acquired long QT syndrome	ACE	1.0	
Acquired long QT syndrome	AGT	1.0	
Panic disorder syndrome 1 (2)	ACE	1.0	
Panic disorder syndrome 1 (2)	AGT	1.0	
Gastric ulcer	ACE	1.0	
Gastric ulcer	REN	1.0	
Aortic Aneurysm, Thoracic	ACE	1.0	
Aortic Aneurysm, Thoracic	AGT	1.0	
Hereditary hyperhomocysteinemia	ACE	1.0	
Hereditary hyperhomocysteinemia	AGT	1.0	
Preeclampsia/eclampsia 1	ACE	1.0	
Preeclampsia/eclampsia 1	AGT	1.0	
Preeclampsia/eclampsia 1	REN	1.0	
Premature Birth	ACE	1.0	
Premature Birth	AGT	1.0	
Premature Birth	REN	1.0	
Vascular inflammations	ACE	1.0	
Vascular inflammations	AGT	1.0	
Intrauterine growth retardation	ACE	1.0	
Intrauterine growth retardation	AGT	1.0	
Intrauterine growth retardation	REN	1.0	
Anxiety Disorders	ACE	1.0	
Anxiety Disorders	AGT	1.0	
Anxiety Disorders	REN	1.0	
Hypertrophic cardiomyopathy	ACE	1.0	
Hypertrophic cardiomyopathy	AGT	1.0	
